
4 digit prime number : 1009
i = 1 	 Li = 69383 	 Ri = 771 
i = 42 	 Li = 67828 	 Ri = 574 
i = 43 	 Li = 49299 	 Ri = 387 
i = 44 	 Li = 57343 	 Ri = 279 
i = 45 	 Li = 15746 	 Ri = 461 
i = 46 	 Li = 95568 	 Ri = 801 
i = 47 	 Li = 34340 	 Ri = 713 
i = 48 	 Li = 15422 	 Ri = 137 
i = 49 	 Li = 13311 	 Ri = 64 
i = 50 	 Li = 83810 	 Ri = 252 
i = 51 	 Li = 77605 	 Ri = 161 
i = 52 	 Li = 71801 	 Ri = 471 
i = 53 	 Li = 55661 	 Ri = 635 
i = 54 	 Li = 33730 	 Ri = 103 
i = 55 	 Li = 84878 	 Ri = 301 
i = 56 	 Li = 61305 	 Ri = 165 
i = 57 	 Li = 89320 	 Ri = 667 
i = 58 	 Li = 38736 	 Ri = 14 
i = 59 	 Li = 59444 	 Ri = 342 
i = 60 	 Li = 98626 	 Ri = 802 
i = 61 	 Li = 88522 	 Ri = 888 
i = 62 	 Li = 93465 	 Ri = 736 
i = 63 	 Li = 36708 	 Ri = 24 
i = 64 	 Li = 63416 	 Ri = 238 
i = 65 	 Li = 58282 	 Ri = 199 
i = 66 	 Li = 33258 	 Ri = 650 
i = 67 	 Li = 72924 	 Ri = 575 
i = 68 	 Li = 27637 	 Ri = 124 
i = 69 	 Li = 62062 	 Ri = 922 
i = 70 	 Li = 75624 	 Ri = 218 
i = 71 	 Li = 22600 	 Ri = 182 
i = 72 	 Li = 22036 	 Ri = 637 
i = 73 	 Li = 43452 	 Ri = 654 
i = 74 	 Li = 61899 	 Ri = 759 
i = 75 	 Li = 69379 	 Ri = 87 
i = 76 	 Li = 55550 	 Ri = 524 
i = 77 	 Li = 57468 	 Ri = 404 
i = 78 	 Li = 10071 	 Ri = 900 
i = 79 	 Li = 60973 	 Ri = 852 
i = 80 	 Li = 67131 	 Ri = 896 
i = 81 	 Li = 83881 	 Ri = 323 
i = 82 	 Li = 44930 	 Ri = 94 
i = 83 	 Li = 38933 	 Ri = 211 
i = 84 	 Li = 45894 	 Ri = 39 
i = 85 	 Li = 68660 	 Ri = 387 
i = 86 	 Li = 30163 	 Ri = 612 
i = 87 	 Li = 97199 	 Ri = 394 
i = 88 	 Li = 57981 	 Ri = 917 
i = 89 	 Li = 58899 	 Ri = 816 
i = 90 	 Li = 62996 	 Ri = 837 
i = 91 	 Li = 62959 	 Ri = 800 
i = 92 	 Li = 53773 	 Ri = 785 
i = 93 	 Li = 62813 	 Ri = 654 
i = 94 	 Li = 89668 	 Ri = 1015 
i = 95 	 Li = 17190 	 Ri = 886 
i = 96 	 Li = 21095 	 Ri = 715 
i = 97 	 Li = 22926 	 Ri = 508 
i = 98 	 Li = 86466 	 Ri = 870 
i = 99 	 Li = 45084 	 Ri = 248 
i = 100 	 Li = 81340 	 Ri = 839 

4 digit prime number : 1021
i = 1 	 Li = 62090 	 Ri = 830 
i = 2 	 Li = 57684 	 Ri = 508 
i = 3 	 Li = 93376 	 Ri = 465 
i = 4 	 Li = 95542 	 Ri = 589 
i = 5 	 Li = 25936 	 Ri = 411 
i = 6 	 Li = 69107 	 Ri = 700 
i = 7 	 Li = 57445 	 Ri = 269 
i = 8 	 Li = 79756 	 Ri = 118 
i = 9 	 Li = 69179 	 Ri = 772 
i = 10 	 Li = 18418 	 Ri = 40 
i = 11 	 Li = 46887 	 Ri = 942 
i = 12 	 Li = 59412 	 Ri = 194 
i = 13 	 Li = 53348 	 Ri = 256 
i = 14 	 Li = 82172 	 Ri = 492 
i = 15 	 Li = 11659 	 Ri = 428 
i = 16 	 Li = 22009 	 Ri = 568 
i = 17 	 Li = 12336 	 Ri = 84 
i = 18 	 Li = 15210 	 Ri = 916 
i = 19 	 Li = 76342 	 Ri = 788 
i = 20 	 Li = 67587 	 Ri = 201 
i = 21 	 Li = 68206 	 Ri = 820 
i = 22 	 Li = 39301 	 Ri = 503 
i = 23 	 Li = 27713 	 Ri = 146 
i = 24 	 Li = 37372 	 Ri = 616 
i = 25 	 Li = 35321 	 Ri = 607 
i = 26 	 Li = 41255 	 Ri = 415 
i = 27 	 Li = 54819 	 Ri = 706 
i = 28 	 Li = 54599 	 Ri = 486 
i = 29 	 Li = 27721 	 Ri = 154 
i = 30 	 Li = 89904 	 Ri = 56 
i = 31 	 Li = 35939 	 Ri = 204 
i = 32 	 Li = 79811 	 Ri = 173 
i = 33 	 Li = 53940 	 Ri = 848 
i = 34 	 Li = 35667 	 Ri = 953 
i = 35 	 Li = 81705 	 Ri = 25 
i = 36 	 Li = 76228 	 Ri = 674 
i = 37 	 Li = 11127 	 Ri = 917 
i = 38 	 Li = 39150 	 Ri = 352 
i = 39 	 Li = 55984 	 Ri = 850 
i = 40 	 Li = 76658 	 Ri = 83 
i = 41 	 Li = 53920 	 Ri = 828 
i = 42 	 Li = 99224 	 Ri = 187 
i = 43 	 Li = 42422 	 Ri = 561 
i = 44 	 Li = 97269 	 Ri = 274 
i = 45 	 Li = 81396 	 Ri = 737 
i = 46 	 Li = 44081 	 Ri = 178 
i = 47 	 Li = 25630 	 Ri = 105 
i = 48 	 Li = 90084 	 Ri = 236 
i = 49 	 Li = 49292 	 Ri = 284 
i = 50 	 Li = 91972 	 Ri = 82 
i = 51 	 Li = 57672 	 Ri = 496 
i = 52 	 Li = 23850 	 Ri = 367 
i = 53 	 Li = 37625 	 Ri = 869 
i = 54 	 Li = 75385 	 Ri = 852 
i = 55 	 Li = 51222 	 Ri = 172 
i = 56 	 Li = 69299 	 Ri = 892 
i = 57 	 Li = 16640 	 Ri = 304 
i = 58 	 Li = 96042 	 Ri = 68 
i = 59 	 Li = 23898 	 Ri = 415 
i = 60 	 Li = 40713 	 Ri = 894 
i = 61 	 Li = 92298 	 Ri = 408 
i = 62 	 Li = 56190 	 Ri = 35 
i = 63 	 Li = 20524 	 Ri = 104 
i = 64 	 Li = 52590 	 Ri = 519 
i = 65 	 Li = 88209 	 Ri = 403 
i = 66 	 Li = 98581 	 Ri = 565 
i = 67 	 Li = 28819 	 Ri = 231 
i = 68 	 Li = 89336 	 Ri = 509 
i = 69 	 Li = 37732 	 Ri = 976 
i = 70 	 Li = 81155 	 Ri = 496 
i = 71 	 Li = 65994 	 Ri = 650 
i = 72 	 Li = 88004 	 Ri = 198 
i = 73 	 Li = 80379 	 Ri = 741 
i = 74 	 Li = 14769 	 Ri = 475 
i = 75 	 Li = 85273 	 Ri = 530 
i = 76 	 Li = 61776 	 Ri = 516 
i = 77 	 Li = 48850 	 Ri = 863 
i = 78 	 Li = 17255 	 Ri = 919 
i = 79 	 Li = 51860 	 Ri = 810 
i = 80 	 Li = 88142 	 Ri = 336 
i = 81 	 Li = 15579 	 Ri = 264 
i = 82 	 Li = 15884 	 Ri = 569 
i = 83 	 Li = 11993 	 Ri = 762 
i = 84 	 Li = 43205 	 Ri = 323 
i = 85 	 Li = 87621 	 Ri = 836 
i = 86 	 Li = 59567 	 Ri = 349 
i = 87 	 Li = 12504 	 Ri = 252 
i = 88 	 Li = 10613 	 Ri = 403 
i = 89 	 Li = 61961 	 Ri = 701 
i = 90 	 Li = 32754 	 Ri = 82 
i = 91 	 Li = 41326 	 Ri = 486 
i = 92 	 Li = 54259 	 Ri = 146 
i = 93 	 Li = 78944 	 Ri = 327 
i = 94 	 Li = 58202 	 Ri = 5 
i = 95 	 Li = 13202 	 Ri = 950 
i = 96 	 Li = 73506 	 Ri = 1015 
i = 97 	 Li = 56784 	 Ri = 629 
i = 98 	 Li = 32021 	 Ri = 370 
i = 99 	 Li = 62842 	 Ri = 561 
i = 100 	 Li = 90868 	 Ri = 1020 

4 digit prime number : 1031
i = 1 	 Li = 19528 	 Ri = 970 
i = 2 	 Li = 35189 	 Ri = 135 
i = 3 	 Li = 78872 	 Ri = 516 
i = 4 	 Li = 89908 	 Ri = 211 
i = 5 	 Li = 39958 	 Ri = 780 
i = 6 	 Li = 70498 	 Ri = 390 
i = 7 	 Li = 58036 	 Ri = 300 
i = 8 	 Li = 78808 	 Ri = 452 
i = 9 	 Li = 77753 	 Ri = 428 
i = 10 	 Li = 16248 	 Ri = 783 
i = 11 	 Li = 73303 	 Ri = 102 
i = 12 	 Li = 83333 	 Ri = 853 
i = 13 	 Li = 22133 	 Ri = 482 
i = 14 	 Li = 81648 	 Ri = 199 
i = 15 	 Li = 32890 	 Ri = 929 
i = 16 	 Li = 99754 	 Ri = 778 
i = 17 	 Li = 47567 	 Ri = 141 
i = 18 	 Li = 41746 	 Ri = 506 
i = 19 	 Li = 10368 	 Ri = 58 
i = 20 	 Li = 99529 	 Ri = 553 
i = 21 	 Li = 64500 	 Ri = 578 
i = 22 	 Li = 48046 	 Ri = 620 
i = 23 	 Li = 53788 	 Ri = 176 
i = 24 	 Li = 49797 	 Ri = 309 
i = 25 	 Li = 96249 	 Ri = 366 
i = 26 	 Li = 56990 	 Ri = 285 
i = 27 	 Li = 23303 	 Ri = 621 
i = 28 	 Li = 53033 	 Ri = 452 
i = 29 	 Li = 85363 	 Ri = 821 
i = 30 	 Li = 82497 	 Ri = 17 
i = 31 	 Li = 50253 	 Ri = 765 
i = 32 	 Li = 94892 	 Ri = 40 
i = 33 	 Li = 17686 	 Ri = 159 
i = 34 	 Li = 29125 	 Ri = 257 
i = 35 	 Li = 91152 	 Ri = 424 
i = 36 	 Li = 53996 	 Ri = 384 
i = 37 	 Li = 95975 	 Ri = 92 
i = 38 	 Li = 49188 	 Ri = 731 
i = 39 	 Li = 39157 	 Ri = 1010 
i = 40 	 Li = 73729 	 Ri = 528 
i = 41 	 Li = 55436 	 Ri = 793 
i = 42 	 Li = 12460 	 Ri = 88 
i = 43 	 Li = 63414 	 Ri = 523 
i = 44 	 Li = 73921 	 Ri = 720 
i = 45 	 Li = 90460 	 Ri = 763 
i = 46 	 Li = 86304 	 Ri = 731 
i = 47 	 Li = 80028 	 Ri = 641 
i = 48 	 Li = 38027 	 Ri = 911 
i = 49 	 Li = 28050 	 Ri = 213 
i = 50 	 Li = 86748 	 Ri = 144 
i = 51 	 Li = 37556 	 Ri = 440 
i = 52 	 Li = 88902 	 Ri = 236 
i = 53 	 Li = 34794 	 Ri = 771 
i = 54 	 Li = 87697 	 Ri = 62 
i = 55 	 Li = 38699 	 Ri = 552 
i = 56 	 Li = 31043 	 Ri = 113 
i = 57 	 Li = 51039 	 Ri = 520 
i = 58 	 Li = 52002 	 Ri = 452 
i = 59 	 Li = 80428 	 Ri = 10 
i = 60 	 Li = 36403 	 Ri = 318 
i = 61 	 Li = 34500 	 Ri = 477 
i = 62 	 Li = 30681 	 Ri = 782 
i = 63 	 Li = 37647 	 Ri = 531 
i = 64 	 Li = 48538 	 Ri = 81 
i = 65 	 Li = 56159 	 Ri = 485 
i = 66 	 Li = 35151 	 Ri = 97 
i = 67 	 Li = 92535 	 Ri = 776 
i = 68 	 Li = 52134 	 Ri = 584 
i = 69 	 Li = 74339 	 Ri = 107 
i = 70 	 Li = 31692 	 Ri = 762 
i = 71 	 Li = 32215 	 Ri = 254 
i = 72 	 Li = 36127 	 Ri = 42 
i = 73 	 Li = 40504 	 Ri = 295 
i = 74 	 Li = 85629 	 Ri = 56 
i = 75 	 Li = 10049 	 Ri = 770 
i = 76 	 Li = 30964 	 Ri = 34 
i = 77 	 Li = 78285 	 Ri = 960 
i = 78 	 Li = 86429 	 Ri = 856 
i = 79 	 Li = 65343 	 Ri = 390 
i = 80 	 Li = 96335 	 Ri = 452 
i = 81 	 Li = 73177 	 Ri = 1007 
i = 82 	 Li = 92900 	 Ri = 110 
i = 83 	 Li = 85238 	 Ri = 696 
i = 84 	 Li = 97971 	 Ri = 26 
i = 85 	 Li = 86949 	 Ri = 345 
i = 86 	 Li = 30289 	 Ri = 390 
i = 87 	 Li = 35367 	 Ri = 313 
i = 88 	 Li = 37988 	 Ri = 872 
i = 89 	 Li = 72292 	 Ri = 122 
i = 90 	 Li = 15795 	 Ri = 330 
i = 91 	 Li = 70743 	 Ri = 635 
i = 92 	 Li = 13144 	 Ri = 772 
i = 93 	 Li = 42829 	 Ri = 558 
i = 94 	 Li = 98390 	 Ri = 445 
i = 95 	 Li = 51682 	 Ri = 132 
i = 96 	 Li = 95340 	 Ri = 488 
i = 97 	 Li = 33541 	 Ri = 549 
i = 98 	 Li = 50569 	 Ri = 50 
i = 99 	 Li = 53826 	 Ri = 214 
i = 100 	 Li = 14232 	 Ri = 829 

4 digit prime number : 1033
i = 1 	 Li = 72261 	 Ri = 984 
i = 2 	 Li = 76042 	 Ri = 633 
i = 3 	 Li = 40360 	 Ri = 73 
i = 4 	 Li = 19117 	 Ri = 523 
i = 5 	 Li = 68023 	 Ri = 878 
i = 6 	 Li = 46761 	 Ri = 276 
i = 7 	 Li = 40081 	 Ri = 827 
i = 8 	 Li = 46309 	 Ri = 857 
i = 9 	 Li = 33190 	 Ri = 134 
i = 10 	 Li = 95425 	 Ri = 389 
i = 11 	 Li = 48996 	 Ri = 445 
i = 12 	 Li = 96367 	 Ri = 298 
i = 13 	 Li = 94677 	 Ri = 674 
i = 14 	 Li = 34234 	 Ri = 145 
i = 15 	 Li = 10690 	 Ri = 360 
i = 16 	 Li = 81626 	 Ri = 19 
i = 17 	 Li = 54524 	 Ri = 808 
i = 18 	 Li = 36057 	 Ri = 935 
i = 19 	 Li = 19614 	 Ri = 1020 
i = 20 	 Li = 33168 	 Ri = 112 
i = 21 	 Li = 48205 	 Ri = 687 
i = 22 	 Li = 80358 	 Ri = 817 
i = 23 	 Li = 36312 	 Ri = 157 
i = 24 	 Li = 87386 	 Ri = 614 
i = 25 	 Li = 85100 	 Ri = 394 
i = 26 	 Li = 84346 	 Ri = 673 
i = 27 	 Li = 82726 	 Ri = 86 
i = 28 	 Li = 24994 	 Ri = 202 
i = 29 	 Li = 34916 	 Ri = 827 
i = 30 	 Li = 36552 	 Ri = 397 
i = 31 	 Li = 35578 	 Ri = 456 
i = 32 	 Li = 13529 	 Ri = 100 
i = 33 	 Li = 18946 	 Ri = 352 
i = 34 	 Li = 72290 	 Ri = 1013 
i = 35 	 Li = 22647 	 Ri = 954 
i = 36 	 Li = 76970 	 Ri = 528 
i = 37 	 Li = 19051 	 Ri = 457 
i = 38 	 Li = 59080 	 Ri = 199 
i = 39 	 Li = 29631 	 Ri = 707 
i = 40 	 Li = 48593 	 Ri = 42 
i = 41 	 Li = 60857 	 Ri = 943 
i = 42 	 Li = 68627 	 Ri = 449 
i = 43 	 Li = 51312 	 Ri = 695 
i = 44 	 Li = 61886 	 Ri = 939 
i = 45 	 Li = 99214 	 Ri = 46 
i = 46 	 Li = 58355 	 Ri = 507 
i = 47 	 Li = 43512 	 Ri = 126 
i = 48 	 Li = 60090 	 Ri = 176 
i = 49 	 Li = 84412 	 Ri = 739 
i = 50 	 Li = 59479 	 Ri = 598 
i = 51 	 Li = 89610 	 Ri = 772 
i = 52 	 Li = 38969 	 Ri = 748 
i = 53 	 Li = 46189 	 Ri = 737 
i = 54 	 Li = 32274 	 Ri = 251 
i = 55 	 Li = 26355 	 Ri = 530 
i = 56 	 Li = 37641 	 Ri = 453 
i = 57 	 Li = 16620 	 Ri = 92 
i = 58 	 Li = 15433 	 Ri = 971 
i = 59 	 Li = 58987 	 Ri = 106 
i = 60 	 Li = 47888 	 Ri = 370 
i = 61 	 Li = 48338 	 Ri = 820 
i = 62 	 Li = 84566 	 Ri = 893 
i = 63 	 Li = 57770 	 Ri = 955 
i = 64 	 Li = 57284 	 Ri = 469 
i = 65 	 Li = 56856 	 Ri = 41 
i = 66 	 Li = 70417 	 Ri = 173 
i = 67 	 Li = 40606 	 Ri = 319 
i = 68 	 Li = 72260 	 Ri = 983 
i = 69 	 Li = 35849 	 Ri = 727 
i = 70 	 Li = 60237 	 Ri = 323 
i = 71 	 Li = 27205 	 Ri = 347 
i = 72 	 Li = 93059 	 Ri = 89 
i = 73 	 Li = 35217 	 Ri = 95 
i = 74 	 Li = 68518 	 Ri = 340 
i = 75 	 Li = 54945 	 Ri = 196 
i = 76 	 Li = 40783 	 Ri = 496 
i = 77 	 Li = 26873 	 Ri = 15 
i = 78 	 Li = 88458 	 Ri = 653 
